"year","NOAACode","mean_sal_yr"
2000,47,14.3924797019125
2000,53,13.2141007123778
2000,57,16.2877866555814
2000,60,11.4198931429712
2000,62,10.3760921574377
2000,72,16.331885327019
2000,78,13.5152789151478
2000,82,9.46723319299265
2000,86,13.7390122991747
2000,88,10.1890601429259
2000,96,11.9789219958702
2000,99,10.4096975208393
2000,127,11.1024356827504
2000,129,14.8512231298458
2000,131,9.47434761419335
2000,137,12.5152864350744
2000,168,13.4886156104856
2000,174,11.1434390491211
2000,192,17.0693288597931
2000,229,14.2681009389971
2000,231,6.79928195517372
2000,237,10.6382957843519
2000,268,12.9105918013551
2000,274,9.10955720410825
2000,292,14.9750048893614
2000,331,5.02524115734712
2000,337,8.25850825415104
2000,368,10.7750094934929
2000,437,12.6736404689806
2000,537,12.1163204847419
2000,637,10.5492766007955
2001,5,16.8187486619655
2001,25,9.06338988064877
2001,27,13.8432706006271
2001,39,13.5038200476761
2001,43,14.547834725205
2001,47,16.3010189267273
2001,53,15.3233043666104
2001,57,17.0106102163487
2001,60,13.4648306946981
2001,62,11.2427344498926
2001,72,16.8047533308141
2001,78,14.9498354475861
2001,82,11.8197439850051
2001,86,15.3024028053389
2001,88,12.5357947899167
2001,96,12.660469911423
2001,99,12.5210978463436
2001,127,13.2367134934995
2001,129,16.7801105471732
2001,131,11.6194706325483
2001,137,14.2505628043019
2001,168,14.5163523472758
2001,174,12.0825366775806
2001,192,18.2802096700683
2001,229,15.8209724993292
2001,231,9.25608098033429
2001,237,12.1998600223947
2001,268,13.7944785498872
2001,274,10.3778502684524
2001,292,16.3271279764674
2001,331,6.56860423184632
2001,337,9.4349896625508
2001,368,11.6524703731119
2001,437,14.4515408942632
2001,537,13.922115330437
2001,637,12.1928199784014
2002,5,18.3613109764478
2002,25,8.52396141626223
2002,27,14.396572313312
2002,39,13.730955181208
2002,43,17.0059750471246
2002,47,17.6465970751326
2002,53,15.7277105887567
2002,57,18.6191210787497
2002,60,13.9918100125435
2002,62,13.725472729017
2002,72,17.7846724088324
2002,78,16.5354027891379
2002,82,11.9393286634964
2002,86,16.7787716152834
2002,88,12.8660765231635
2002,96,15.499648276682
2002,99,13.0055705930777
2002,127,13.5133142387943
2002,129,17.4691414634255
2002,131,10.956011136815
2002,137,14.3703489014346
2002,168,16.1612298482634
2002,174,14.6421493294692
2002,192,19.2435531408801
2002,229,16.8917341725935
2002,231,7.80912871268713
2002,237,13.8709901185415
2002,268,15.763362406094
2002,274,12.5560796652249
2002,292,18.0811705802408
2002,331,5.33202765643371
2002,337,11.874752665735
2002,368,14.0229894480724
2002,437,14.6446539193662
2002,537,14.2035227890157
2002,637,12.920634988515
2003,5,13.3078665229209
2003,25,4.51306768449641
2003,27,9.18113169105593
2003,39,9.02526820022079
2003,43,10.057531691192
2003,47,11.3805079016286
2003,53,10.3355071034733
2003,57,13.4554415801342
2003,60,9.49880288019522
2003,62,6.74485766680616
2003,72,12.7717578132368
2003,78,9.83020095801196
2003,82,6.54638340445303
2003,86,9.98896328857109
2003,88,6.75943131401546
2003,96,8.538147210313
2003,99,8.46869381034539
2003,127,7.78199357397742
2003,129,11.9405893522335
2003,131,6.99309293437782
2003,137,10.0503651160727
2003,168,9.93746377223602
